energy;tempo;danceability;playlist_genre;loudness;liveness;valence;track_artist;time_signature;speechiness;track_popularity;track_href;uri;track_album_name;playlist_name;analysis_url;track_id;track_name;track_album_release_date;instrumentalness;track_album_id;mode;key;duration_ms;acousticness;id;playlist_subgenre;type;playlist_id
592;157969;521;pop;-7777;122;535;Lady Gaga, Bruno Mars;3;304;100;https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe;spotify:track:2plbrEY59IikOBgBGLjaoe;Die With A Smile;Today's Top Hits;https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe;2plbrEY59IikOBgBGLjaoe;Die With A Smile;16/8/2024;0;10FLjwfpbxLmW8c25Xyc2N;0;6;251668;308;2plbrEY59IikOBgBGLjaoe;mainstream;audio_features;37i9dQZF1DXcBWIGoYBM5M
507;104978;747;pop;-10171;117;438;Billie Eilish;4;358;97;https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB;spotify:track:6dOtVTDdiauQNBQEDOtlAB;HIT ME HARD AND SOFT;Today's Top Hits;https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB;6dOtVTDdiauQNBQEDOtlAB;BIRDS OF A FEATHER;17/5/2024;608;7aJuG4TFXa2hmE4z1yxc3n;1;2;210373;2;6dOtVTDdiauQNBQEDOtlAB;mainstream;audio_features;37i9dQZF1DXcBWIGoYBM5M
808;108548;554;pop;-4169;159;372;Gracie Abrams;4;368;93;https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad;spotify:track:7ne4VBA60CxGM75vw0EYad;The Secret of Us (Deluxe);Today's Top Hits;https://api.spotify.com/v1/audio-analysis/7ne4VBA60CxGM75vw0EYad;7ne4VBA60CxGM75vw0EYad;Thatâ€™s So True;18/10/2024;0;0hBRqPYPXhr1RkTDG3n4Mk;1;1;166300;214;7ne4VBA60CxGM75vw0EYad;mainstream;audio_features;37i9dQZF1DXcBWIGoYBM5M
91;112966;67;pop;-407;304;786;Sabrina Carpenter;4;634;81;https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ;spotify:track:1d7Ptw3qYcfpdLNL5REhtJ;Short n' Sweet;Today's Top Hits;https://api.spotify.com/v1/audio-analysis/1d7Ptw3qYcfpdLNL5REhtJ;1d7Ptw3qYcfpdLNL5REhtJ;Taste;23/8/2024;0;4B4Elma4nNDUyl6D5PvQkj;0;0;157280;939;1d7Ptw3qYcfpdLNL5REhtJ;mainstream;audio_features;37i9dQZF1DXcBWIGoYBM5M
783;149027;777;pop;-4477;355;939;ROSÃ, Bruno Mars;4;26;98;https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY;spotify:track:5vNRhkKd0yEAg8suGBpjeY;APT.;Today's Top Hits;https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY;5vNRhkKd0yEAg8suGBpjeY;APT.;18/10/2024;0;2IYQwwgxgOIn7t3iF6ufFD;0;0;169917;283;5vNRhkKd0yEAg8suGBpjeY;mainstream;audio_features;37i9dQZF1DXcBWIGoYBM5M
582;116712;7;pop;-596;881;785;Chappell Roan;4;356;94;https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu;spotify:track:0WbMK4wrZ1wFSty9F7FCgu;Good Luck, Babe!;Today's Top Hits;https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu;0WbMK4wrZ1wFSty9F7FCgu;Good Luck, Babe!;5/4/2024;0;1WAjjRMfZjEXtB0lQrAw6Q;0;11;218424;502;0WbMK4wrZ1wFSty9F7FCgu;mainstream;audio_features;37i9dQZF1DXcBWIGoYBM5M
561;150069;669;pop;-6538;954;841;Addison Rae;4;411;88;https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz;spotify:track:6MzofobZt2dm0Kf1hTThFz;Diet Pepsi;Today's Top Hits;https://api.spotify.com/v1/audio-analysis/6MzofobZt2dm0Kf1hTThFz;6MzofobZt2dm0Kf1hTThFz;Diet Pepsi;9/8/2024;962;0XA403JTounqFh2owquBXu;1;10;169698;495;6MzofobZt2dm0Kf1hTThFz;mainstream;audio_features;37i9dQZF1DXcBWIGoYBM5M
247;148101;467;pop;-12002;17;126;Billie Eilish;4;431;93;https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h;spotify:track:3QaPy1KgI7nu9FJEQUgn6h;HIT ME HARD AND SOFT;Today's Top Hits;https://api.spotify.com/v1/audio-analysis/3QaPy1KgI7nu9FJEQUgn6h;3QaPy1KgI7nu9FJEQUgn6h;WILDFLOWER;17/5/2024;271;7aJuG4TFXa2hmE4z1yxc3n;0;6;261467;612;3QaPy1KgI7nu9FJEQUgn6h;mainstream;audio_features;37i9dQZF1DXcBWIGoYBM5M
416;94926;492;pop;-10439;203;297;Gigi Perez;4;254;71;https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB;spotify:track:0UYnhUfnUj5adChuAXvLUB;Sailor Song;Today's Top Hits;https://api.spotify.com/v1/audio-analysis/0UYnhUfnUj5adChuAXvLUB;0UYnhUfnUj5adChuAXvLUB;Sailor Song;26/7/2024;0.00861;4DWrYvfGXRE8ko5ZxlIpit;1;11;211979;686;0UYnhUfnUj5adChuAXvLUB;mainstream;audio_features;37i9dQZF1DXcBWIGoYBM5M
722;119973;769;pop;-5485;111;57;The Weeknd, Playboi Carti;4;507;92;https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL;spotify:track:1Es7AUAhQvapIcoh3qMKDL;Timeless;Today's Top Hits;https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL;1Es7AUAhQvapIcoh3qMKDL;Timeless (with Playboi Carti);27/9/2024;0.000256;2IRxVVqbSbqHJo8Zx50LYn;0;11;256000;584;1Es7AUAhQvapIcoh3qMKDL;mainstream;audio_features;37i9dQZF1DXcBWIGoYBM5M
